count,country,request_url,scrap_date,scrap_time
20,Lake Titicaca,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
1,Lares Trek,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
80,Lima,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
31,Machu Picchu,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
1,Manatee Rescue Center,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
5,Maras,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
3,Maras Salt Mines,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
1,Mirador Turístico De La Comunidad de Independencia,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
1,Nanay River,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
10,Nazca,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
1,Nevado Auzangate,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
14,Ollantaytambo,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
4,Ollantaytambo Train Station,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
2,Palccoyo Rainbow Mountain,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
29,Paracas,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
4,Pisac,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
5,Puca Pucara,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
11,Puerto Maldonado,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
38,Puno,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
20,Puno Region,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
8,Rainbow Mountain,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
40,Sacred Valley,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
7,Salkantay,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
8,Tambopata National Reserve,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
1,Yanque,https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
no_count,"
								Machu Picchu
																	",https://www.getyourguide.com/destinations/peru-n15/,2019-11-11,22:46
1,Alausí,https://www.getyourguide.com/destinations/ecuador-n122/,2019-11-11,22:46
8,Baños de Agua Santa,https://www.getyourguide.com/destinations/ecuador-n122/,2019-11-11,22:46
2,Basilica of the National Vote,https://www.getyourguide.com/destinations/ecuador-n122/,2019-11-11,22:46
1,Bosque Protector Mindo Nambillo,https://www.getyourguide.com/destinations/ecuador-n122/,2019-11-11,22:46
1,Carondelet Palace,https://www.getyourguide.com/destinations/ecuador-n122/,2019-11-11,22:46
1,Chimborazo Province,https://www.getyourguide.com/destinations/ecuador-n122/,2019-11-11,22:46
2,Chordeleg,https://www.getyourguide.com/destinations/ecuador-n122/,2019-11-11,22:46
10,Cotopaxi National Park,https://www.getyourguide.com/destinations/ecuador-n122/,2019-11-11,22:46
12,Cuenca,https://www.getyourguide.com/destinations/ecuador-n122/,2019-11-11,22:46
12,Guayaquil,https://www.getyourguide.com/destinations/ecuador-n122/,2019-11-11,22:46
1,Guayllabamba,https://www.getyourguide.com/destinations/ecuador-n122/,2019-11-11,22:46
1,Manta,https://www.getyourguide.com/destinations/ecuador-n122/,2019-11-11,22:46
1,Mindo Biking,https://www.getyourguide.com/destinations/ecuador-n122/,2019-11-11,22:46
3,Otavalo,https://www.getyourguide.com/destinations/ecuador-n122/,2019-11-11,22:46
1,Parque El Ejido,https://www.getyourguide.com/destinations/ecuador-n122/,2019-11-11,22:46
2,Plaza Arenas,https://www.getyourguide.com/destinations/ecuador-n122/,2019-11-11,22:46
76,Quito,https://www.getyourguide.com/destinations/ecuador-n122/,2019-11-11,22:46
1,Reserva Ecologica Antisana,https://www.getyourguide.com/destinations/ecuador-n122/,2019-11-11,22:46
2,San Cristóbal,https://www.getyourguide.com/destinations/ecuador-n122/,2019-11-11,22:46
5,Santa Cruz,https://www.getyourguide.com/destinations/ecuador-n122/,2019-11-11,22:46
1,Tena,https://www.getyourguide.com/destinations/ecuador-n122/,2019-11-11,22:46
1,Agua Azul Beach Resort,https://www.getyourguide.com/destinations/colombia-n12/,2019-11-11,22:46
1,Barú,https://www.getyourguide.com/destinations/colombia-n12/,2019-11-11,22:46
6,Baru Island,https://www.getyourguide.com/destinations/colombia-n12/,2019-11-11,22:46
60,Bogotá,https://www.getyourguide.com/destinations/colombia-n12/,2019-11-11,22:46
11,Cali,https://www.getyourguide.com/destinations/colombia-n12/,2019-11-11,22:46
38,Cartagena,https://www.getyourguide.com/destinations/colombia-n12/,2019-11-11,22:46
